Team,Year,GP,P,ROW,GF,Ave Salary,Salary Variation,Full Team Name,RawGini,Gini2,RosterSize,OrtegaGamma,Atkinson
CHI,2018,82,84,33,267,3135440.3,3024167.51,Chicago Blackhawks,0.4895,0.23961025,23,0.9726,0.1976
COL,2018,82,90,36,258,3106357.12,2187217.36,Colorado Avalanche,0.393,0.154449,25,0.5164,0.1301
CBJ,2018,82,98,45,256,2786111.1,2099263.69,Columbus Blue Jackets,0.4109,0.16883881,30,0.5873,0.14
DAL,2018,82,93,42,209,2991810.34,2209755.02,Dallas Stars,0.3947,0.15578809,29,0.565,0.126
DET,2018,82,74,29,224,3258974.08,1778569.23,Detroit Red Wings,0.3107,0.09653449,24,0.3108,0.0897
EDM,2018,82,79,32,229,3209561.57,2884699.56,Edmonton Oilers,0.4556,0.20757136,23,0.8445,0.1675
FLA,2018,82,86,33,264,3041413.04,2156859.82,Florida Panthers,0.3952,0.15618304,23,0.5258,0.1343
LAK,2018,82,71,28,199,2975200.46,2725661.67,Los Angeles Kings,0.4798,0.23020804,24,0.8758,0.1952
MIN,2018,82,83,36,210,2682734.19,2296407.4,Minnesota Wild,0.4548,0.20684304,26,0.762,0.1754
MTL,2018,82,96,41,246,2550727.52,2436916.21,Montreal Canadiens,0.4653,0.21650409,27,0.9479,0.1707
NSH,2018,82,100,43,236,2760446.39,2310251.95,Nashville Predators,0.4472,0.19998784,28,0.7264,0.1657
NJD,2018,82,72,28,219,2359094.17,1972413.91,New Jersey Devils,0.4365,0.19053225,23,0.7308,0.158
NYI,2018,82,103,43,223,2686698.69,1772538.76,New York Islanders,0.3703,0.13712209,26,0.4527,0.1133
NYR,2018,82,78,26,221,2675597.74,2314964.05,New York Rangers,0.4538,0.20593444,23,0.7826,0.1723
OTT,2018,82,64,29,242,2412765.14,1831086.57,Ottawa Senators,0.4039,0.16313521,22,0.6034,0.1337
PHI,2018,82,82,34,241,2728698.35,2425053.15,Philadelphia Flyers,0.4607,0.21224449,23,0.8257,0.1729
PIT,2018,82,100,42,271,3155466.64,2716622.47,Pittsburgh Penguins,0.4619,0.21335161,25,0.7721,0.1876
SJS,2018,82,101,46,289,3375277.79,2551299.6,San Jose Sharks,0.421,0.177241,24,0.5962,0.1635
STL,2018,82,99,42,244,3134871.73,2348538.17,St. Louis Blues,0.4161,0.17313921,26,0.5837,0.1546
TBL,2018,82,128,56,319,3210069.42,2359686.15,Tampa Bay Lightning,0.405,0.164025,24,0.5638,0.147
TOR,2018,82,100,46,286,2783015.79,2759395.97,Toronto Maple Leafs,0.4882,0.23833924,29,1.0182,0.1954
VAN,2018,82,81,29,219,2203116.09,1588060.38,Vancouver Canucks,0.3847,0.14799409,33,0.5358,0.1194
VGK,2018,82,93,40,246,2906696.43,2055552.37,Vegas Golden Knights,0.3948,0.15586704,28,0.5186,0.1316
WPG,2018,82,99,45,270,3029697.48,2273249.4,Winnipeg Jets,0.4121,0.16982641,27,0.5846,0.1504
ANA,2017,82,101,40,231,2674226.18,2241448.91,Anaheim Ducks,0.4318,0.18645124,28,0.7285,0.1483
ARI,2017,82,70,27,206,2105277.67,1886998.32,Arizona Coyotes,0.447,0.199809,24,0.8383,0.163
BOS,2017,82,112,47,267,2989683.28,2635155.75,Boston Bruins,0.4659,0.21706281,25,0.8093,0.1889
BUF,2017,82,62,24,198,2587479.3,2075378.51,Buffalo Sabres,0.4296,0.18455616,23,0.6726,0.1498
CGY,2017,82,84,35,216,2806152.54,2143076.74,Calgary Flames,0.4224,0.17842176,26,0.6066,0.1517
CAR,2017,82,83,33,225,2497874.95,1770892.57,Carolina Hurricanes,0.3894,0.15163236,20,0.5291,0.1253
CHI,2017,82,76,32,228,3172013.41,3173234.66,Chicago Blackhawks,0.5091,0.25918281,22,1.0484,0.2251
COL,2017,82,95,41,255,2387520.52,2208076.54,Colorado Avalanche,0.4654,0.21659716,29,0.8859,0.1781
CBJ,2017,82,97,39,236,2643505.3,2040353.6,Columbus Blue Jackets,0.4209,0.17715681,27,0.6186,0.1452
DAL,2017,82,92,38,231,3274393.95,2544256.99,Dallas Stars,0.4256,0.18113536,22,0.6325,0.1542
DET,2017,82,73,25,212,3018009.64,1975153.19,Detroit Red Wings,0.3664,0.13424896,22,0.4487,0.1271
EDM,2017,82,78,31,229,2510029.78,2254238.89,Edmonton Oilers,0.4607,0.21224449,23,0.8432,0.1766
FLA,2017,82,96,41,245,2767048.58,2110036.13,Florida Panthers,0.4176,0.17438976,24,0.6068,0.1449
LAK,2017,82,98,43,237,2861481.5,2561375.55,Los Angeles Kings,0.4697,0.22061809,26,0.8333,0.1806
MIN,2017,82,101,42,250,2652365.17,2278777.75,Minnesota Wild,0.4577,0.20948929,29,0.7645,0.1753
MTL,2017,82,71,27,207,2394473.38,2200477.18,Montreal Canadiens,0.4688,0.21977344,26,0.8783,0.1851
NSH,2017,82,117,47,261,2657048.58,2295452.11,Nashville Predators,0.4528,0.20502784,24,0.7788,0.1726
NJD,2017,82,97,39,243,2148787.11,1847996.14,New Jersey Devils,0.4408,0.19430464,35,0.7614,0.1592
NYI,2017,82,80,32,261,2802532.08,1848519.71,New York Islanders,0.3715,0.13801225,26,0.4525,0.1192
NYR,2017,82,77,31,228,2432066.64,2185797.38,New York Rangers,0.4582,0.20994724,25,0.8414,0.1671
