Team,Year,GP,P,ROW,Ave Salary,Salary Variation,Full Team Name,Gini,Gini2,RosterSize
LAK,2016,82,86,37,3310915.61,2463434.29,Los Angeles Kings,0.4091,0.16736281,23
MIN,2016,82,106,46,2961010.28,2171273.41,Minnesota Wild,0.4053,0.16426809,25
MTL,2016,82,103,44,2919394.79,2252264.87,Montreal Canadiens,0.4199,0.17631601,24
NSH,2016,82,94,39,2364109.17,2265194.07,Nashville Predators,0.4886,0.23872996,29
NJD,2016,82,70,25,2818951.14,2018321.32,New Jersey Devils,0.3962,0.15697444,21
NYI,2016,82,94,39,2947103.25,1731080.82,New York Islanders,0.3361,0.11296321,24
NYR,2016,82,102,45,2793518.52,2308564.9,New York Rangers,0.4399,0.19351201,27
OTT,2016,82,98,38,2608027.77,2100460.65,Ottawa Senators,0.4338,0.18818244,30
PHI,2016,82,88,32,2877469.2,2214356.08,Philadelphia Flyers,0.412,0.169744,25
PIT,2016,82,111,46,2787067.45,2583142.85,Pittsburgh Penguins,0.4839,0.23415921,29
SJS,2016,82,99,44,3328968.29,2042451.89,San Jose Sharks,0.3502,0.12264004,21
STL,2016,82,99,44,2980329.88,2220661.25,St. Louis Blues,0.408,0.166464,24
TBL,2016,82,94,38,2840708.3,2141608.14,Tampa Bay Lightning,0.4086,0.16695396,20
TOR,2016,82,95,39,2320505.96,1653653.66,Toronto Maple Leafs,0.3904,0.15241216,28
VAN,2016,82,69,26,2307284.48,2111921.29,Vancouver Canucks,0.4644,0.21566736,29
WPG,2016,82,87,37,2443075.31,2095336.75,Winnipeg Jets,0.4426,0.19589476,26
ANA,2015,82,103,43,2401574.04,2159087.15,Anaheim Ducks,0.4427,0.19598329,27
ARI,2015,82,78,34,2264886.22,1731196.27,Arizona Coyotes,0.4086,0.16695396,27
BOS,2015,82,93,38,2852291.67,2286487.71,Boston Bruins,0.4358,0.18992164,24
BUF,2015,82,81,33,2306347.64,1765979.25,Buffalo Sabres,0.4092,0.16744464,25
CGY,2015,82,77,33,2710037.86,1628922.47,Calgary Flames,0.3381,0.11431161,22
CAR,2015,82,86,33,2068939.32,2024000.16,Carolina Hurricanes,0.4721,0.22287841,22
CHI,2015,82,103,46,2898790.08,2956177.55,Chicago Blackhawks,0.5111,0.26122321,24
COL,2015,82,82,35,2489176.73,1834235.53,Colorado Avalanche,0.4039,0.16313521,26
CBJ,2015,82,76,28,2814948.22,2129180.85,Columbus Blue Jackets,0.4144,0.17172736,23
DAL,2015,82,109,48,2590248.15,2049272.14,Dallas Stars,0.4251,0.18071001,27
DET,2015,82,93,39,2791115.12,2033989.46,Detroit Red Wings,0.4043,0.16345849,25
EDM,2015,82,70,27,2314089.52,1819082.7,Edmonton Oilers,0.4155,0.17264025,27
FLA,2015,82,103,40,2665790.78,1799223.79,Florida Panthers,0.3716,0.13808656,27
LAK,2015,82,102,46,3055156.89,2069889.8,Los Angeles Kings,0.3845,0.14784025,28
MIN,2015,82,87,35,2939778.08,2364541.23,Minnesota Wild,0.4412,0.19465744,24
MTL,2015,82,82,33,2489940.43,2240240.89,Montreal Canadiens,0.4669,0.21799561,28
NSH,2015,82,96,37,2503552.4,2091733.4,Nashville Predators,0.4454,0.19838116,25
NJD,2015,82,84,36,2483260.83,2071622.75,New Jersey Devils,0.4408,0.19430464,23
NYI,2015,82,100,40,2496474.37,1717495.34,New York Islanders,0.3847,0.14799409,27
NYR,2015,82,101,43,3533652.17,2628241.93,New York Rangers,0.4144,0.17172736,23
OTT,2015,82,85,32,2307943.54,1831446.91,Ottawa Senators,0.4165,0.17347225,26
